ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
,20260416,772.37,810.11,762.35,809.61,779.98,29.63,3.7988,286570.12,22749930.918
,20260417,841.0,865.0,820.24,851.0,809.61,41.39,5.1123,398571.61,33630034.467
,20260420,849.0,878.98,840.58,850.0,851.0,-1.0,-0.1175,272631.13,23357063.772
,20260421,849.75,868.0,839.0,864.86,850.0,14.86,1.7482,251138.02,21433791.331
,20260422,859.3,893.2,854.0,886.62,864.86,21.76,2.516,294382.93,25705226.811
,20260423,890.0,919.99,877.78,897.0,886.62,10.38,1.1707,309869.4,27877944.598
,20260424,900.25,915.0,854.53,886.99,897.0,-10.01,-1.1159,383884.41,33962426.838
,20260427,899.0,900.0,854.0,857.03,886.99,-29.96,-3.3777,318148.71,27543690.271
,20260428,854.0,854.0,821.0,825.0,857.03,-32.03,-3.7373,295109.05,24518220.806
,20260429,816.23,863.0,816.23,846.0,825.0,21.0,2.5455,251730.87,21221971.38
,20260430,863.66,874.65,845.0,857.5,845.0,12.5,1.4793,212709.64,18256407.622
,20260506,888.5,889.0,840.45,856.0,857.5,-1.5,-0.1749,309385.72,26756822.154
,20260507,858.0,889.15,835.0,877.47,856.0,21.47,2.5082,277190.1,23995585.894
,20260508,864.95,898.95,861.56,886.0,877.47,8.53,0.9721,197640.77,17406542.425
,20260511,889.06,946.79,870.0,940.13,886.0,54.13,6.1095,322655.43,29399331.289
,20260512,961.0,1022.9,960.0,1017.99,940.13,77.86,8.2818,345421.36,34442619.233
,20260513,999.68,1052.2,991.12,1049.2,1017.99,31.21,3.0658,260005.33,26467945.093
,20260514,1065.0,1088.88,1025.1,1078.0,1049.2,28.8,2.7449,300571.34,31835259.103
,20260515,1068.99,1099.87,1034.0,1049.87,1078.0,-28.13,-2.6095,276252.8,29275322.893
,20260518,1030.03,1075.0,1030.03,1045.0,1049.87,-4.87,-0.4639,243132.05,25546322.519
,20260519,1026.0,1037.38,988.88,1030.0,1045.0,-15.0,-1.4354,272749.08,27528008.857
,20260520,1019.11,1071.0,1019.11,1037.0,1030.0,7.0,0.6796,225973.22,23581065.528
,20260521,1060.0,1065.0,993.34,993.34,1037.0,-43.66,-4.2102,237726.01,24395401.284
,20260522,1010.04,1044.87,1006.18,1037.98,993.34,44.64,4.4939,209337.69,21509318.912
,20260525,1054.99,1094.98,1025.55,1093.0,1037.98,55.02,5.3007,250760.89,26633292.536
,20260526,1079.0,1110.0,1076.0,1103.0,1093.0,10.0,0.9149,234391.09,25717381.407
,20260527,1090.0,1147.0,1088.67,1111.37,1103.0,8.37,0.7588,250688.11,28064034.997
,20260528,1100.0,1199.79,1085.56,1197.99,1111.37,86.62,7.794,287465.13,32911837.685
,20260529,1190.0,1209.99,1155.0,1161.16,1197.99,-36.83,-3.0743,287267.95,33891957.433
,20260601,1161.0,1183.61,1113.9,1130.0,1161.16,-31.16,-2.6835,269781.89,30968403.449
,20260602,1153.6,1205.58,1140.01,1191.81,1130.0,61.81,5.4699,290063.42,34167017.42
,20260603,1220.0,1320.0,1220.0,1275.0,1191.81,83.19,6.9801,345250.76,43881189.297
